Top-Rated TV Programs: 2013---2014,,,Top-Rated TV Programs: 2018---2019,
Program,Rating,,Program,Rating
NBC Sunday Night Football,21.5,,NFL Sunday Night Football,19.3
The Big Bang Theory,20,,The Big Bang Theory,17.4
NCIS,19.8,,NCIS,15.9
NCIS: Los Angeles,16,,Game of Thrones,15.3
Dancing with the Stars,15.2,,Young Sheldon,14.6
The Blacklist,15,,NFL Thursday Night Football,14.4
The Voice,14.6,,This Is Us,13.8
Person of Interest,14,,Blue Bloods,12.8
The Voice—Tuesday,13.9,,FBI,12.7
Blue Bloods,13.6,,The Good Doctor,12.6
Resurrection,13,,Manifest,12.6
Criminal Minds,12.7,,America’s Got Talent: Champions,12.4
Castle,12.6,,NFL Monday Night Football,11.9
60 Minutes,12.2,,Chicago Fire,11.7
Grey’s Anatomy,12.1,,The Masked Singer,11.6
