"State","Population","First Digit"
"Alabama",4858979,4
"Alaska",738432,7
"Arizona",6828065,6
"Arkansas",2978204,2
"California",39144818,3
"Colorado",5456574,5
"Connecticut",3590886,3
"Delaware",945934,9
"Florida",20271272,2
"Georgia",10214860,1
"Hawaii",1431603,1
"Idaho",1654930,1
"Illinois",12859995,1
"Indiana",6619680,6
"Iowa",3123899,3
"Kansas",2911641,2
"Kentucky",4425092,4
"Louisiana",4670724,4
"Maine",1329328,1
"Maryland",6006401,6
"Massachusetts",6794422,6
"Michigan",9922576,9
"Minnesota",5489594,5
"Mississippi",2992333,2
"Missouri",6083672,6
"Montana",1032949,1
"Nebraska",1896190,1
"Nevada",2890845,2
"New Hampshire",1330608,1
"New Jersey",8958013,8
"New Mexico",2085109,2
"New York",19795791,1
"North Carolina",10042802,1
"North Dakota",756927,7
"Ohio",11613423,1
"Oklahoma",3911338,3
"Oregon",4028977,4
"Pennsylvania",12802503,1
"Rhode Island",1056298,1
"South Carolina",4896146,4
"South Dakota",858469,8
"Tennessee",6600299,6
"Texas",27469114,2
"Utah",2995919,2
"Vermont",626042,6
"Virginia",8382993,8
"Washington",7170351,7
"Washington, D.C.",672228,6
"West Virginia",1844128,1
"Wisconsin",5771337,5
"Wyoming",586107,5
