Date,High,Year,Low,Year
"""Jun 1""",98,2011,45,1938
"""Jun 2""",97,1925,43,1897
"""Jun 3""",99,1925,45,1910
"""Jun 4""",99,1925,46,1929
"""Jun 5""",100,1925,48,1926
"""Jun 6""",97,1925,46,1945
"""Jun 7""",98,2008,47,1894
"""Jun 8""",99,2011,49,1977
"""Jun 9""",102,2011,45,1913
"""Jun 10""",100,1964,46,1913
"""Jun 11""",101,1911,45,1913
"""Jun 12""",95,2002,50,1907
"""Jun 13""",96,1954,51,1887
"""Jun 14""",98,1994,49,1933
"""Jun 15""",101,1994,47,1933
"""Jun 16""",99,1994,50,1917
"""Jun 17""",97,2014,50,1926
"""Jun 18""",97,1944,51,1965
"""Jun 19""",99,1994,51,1909
"""Jun 20""",99,1931,54,1926
"""Jun 21""",99,2012,51,1940
"""Jun 22""",101,1988,51,1992
"""Jun 23""",98,1988,51,1918
"""Jun 24""",100,2010,46,1902
"""Jun 25""",100,1997,53,1902
"""Jun 26""",101,1952,56,1979
"""Jun 27""",99,2010,57,1927
"""Jun 28""",100,1969,54,1927
"""Jun 29""",104,2012,54,1888
"""Jun 30""",100,1959,50,1919
